"position","game_title","key","cited"
"39","Splinter Cell: Chaos Theory","splintercellchaostheory","1","['ign-2019']"
"39","Paradigm","paradigm","1","['opencrict-2020']"
"39","WarioWare, Inc.: Mega Microgames!","wariowareincmegamicrogames","1","['slant-magazine']"
"37","Rock Band","rockband","1","['ign-2019']"
"37","The Legend of Zelda: Majora's Mask 3D","thelegendofzeldamajorasmask3d","1","['opencrict-2020']"
"36","Super TIME Force Ultra","supertimeforceultra","1","['opencrict-2020']"
"36","Donkey Kong Country","donkeykongcountry","1","['popular-mechanics']"
"35","World of Goo","worldofgoo","1","['metacrict-2020']"
"35","Euro Truck Simulator 2 - Road to the Black Sea","eurotrucksimulator2roadtotheblacksea","1","['opencrict-2020']"
"35","Teenage Mutant Ninja Turtles: Turtles in Time","teenagemutantninjaturtlesturtlesintime","1","['popular-mechanics']"
"35","Super Mario World: Yoshiï¿½s Island","supermarioworldyoshiï½sisland","1","['slant-magazine']"
"34","Pillars of Eternity","pillarsofeternity","1","['opencrict-2020']"
"33","Dishonored","dishonored","2","['ign-2019', 'slant-magazine']"
"33","Star Wars Jedi Knight II: Jedi Outcast","starwarsjediknightiijedioutcast","1","['ign-2019']"
"33","Halo 3","halo3","2","['metacrict-2020', 'slant-magazine']"
"33","Diablo III: Ultimate Evil Edition","diabloiiiultimateeviledition","1","['opencrict-2020']"
"33","Mega Man 2","megaman2","2","['popular-mechanics', 'slant-magazine']"
"33","Shin Megami Tensei: Persona 4","shinmegamitenseipersona4","1","['popular-mechanics']"
"33","Street Fighter II Turbo: Hyper Fighting","streetfighteriiturbohyperfighting","1","['slant-magazine']"
"32","Final Fantasy IX","finalfantasyix","1","['metacrict-2020']"
"32","Titanfall 2","titanfall2","1","['slant-magazine']"
"31","Call of Duty: Modern Warfare 2","callofdutymodernwarfare2","1","['metacrict-2020']"
"31","DOOM Eternal","doometernal","1","['opencrict-2020']"
"31","Katamari Damacy","katamaridamacy","1","['slant-magazine']"
"30","Battlefield 1942","battlefield1942","1","['ign-2019']"
"30","Slay The Spire","slaythespire","1","['opencrict-2020']"
"30","Gauntlet","gauntlet","1","['popular-mechanics']"
"29","Suikoden II","suikodenii","1","['ign-2019']"
"29","Tony Hawk's Pro Skater 4","tonyhawksproskater4","1","['metacrict-2020']"
"29","Sid Meier's Civilization VI","sidmeierscivilizationvi","1","['opencrict-2020']"
"28","X-COM: UFO Defense","xcomufodefense","1","['ign-2019']"
"28","Devil May Cry","devilmaycry","1","['metacrict-2020']"
"28","Astro Bot Rescue Mission","astrobotrescuemission","1","['opencrict-2020']"
"28","Banjo-Kazooie","banjokazooie","1","['slant-magazine']"
"27","Xenoblade Chronicles Definitive Edition","xenobladechroniclesdefinitiveedition","1","['opencrict-2020']"
"27","Pitfall!","pitfall","1","['popular-mechanics']"
"26","Madden NFL 2002","maddennfl2002","1","['metacrict-2020']"
"26","Kentucky Route Zero: Act IV","kentuckyroutezeroactiv","1","['opencrict-2020']"
"26","NHL '94","nhl94","1","['popular-mechanics']"
"25","Hyper Light Drifter – Special Edition","hyperlightdrifterspecialedition","1","['opencrict-2020']"
"25","Oregon Trail","oregontrail","1","['popular-mechanics']"
"25","The Binding of Isaac","thebindingofisaac","1","['slant-magazine']"
"24","Fable 2","fable2","1","['ign-2019']"
"24","Asgard's Wrath","asgardswrath","1","['opencrict-2020']"
"24","Three Fourths Home","threefourthshome","1","['slant-magazine']"
"23","The Legend of Zelda: Ocarina of Time 3D","thelegendofzeldaocarinaoftime3d","1","['metacrict-2020']"
"23","The Elder Scrolls IV: Oblivion","theelderscrollsivoblivion","2","['metacrict-2020', 'metacrict-2020']"
"23","The Witcher 3: Wild Hunt - Hearts of Stone","thewitcher3wildhuntheartsofstone","1","['opencrict-2020']"
"22","Chrono Cross","chronocross","1","['metacrict-2020']"
"22","Lone Echo","loneecho","1","['opencrict-2020']"
"22","Spy Hunter","spyhunter","1","['popular-mechanics']"
"22","SimCity","simcity","1","['slant-magazine']"
"21","Tales from the Borderlands: Episode Five - The Vault of the Traveler","talesfromtheborderlandsepisodefivethevaultofthetraveler","1","['opencrict-2020']"
